id,label_itc,taxon,device,start_datetime,end_datetime
13.398948ee.1594245600,13,Elateridae,398948ee,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.398948ee.1594850400,13,Elateridae,398948ee,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.5595c586.1593036000,13,Elateridae,5595c586,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.5595c586.1593640800,13,Elateridae,5595c586,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.5595c586.1594245600,13,Elateridae,5595c586,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.5595c586.1594850400,13,Elateridae,5595c586,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.5c173ff2.1593036000,13,Elateridae,5c173ff2,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.5c173ff2.1593640800,13,Elateridae,5c173ff2,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.5c173ff2.1594245600,13,Elateridae,5c173ff2,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.5c173ff2.1594850400,13,Elateridae,5c173ff2,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.d9699ed0.1593036000,13,Elateridae,d9699ed0,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.d9699ed0.1593640800,13,Elateridae,d9699ed0,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.d9699ed0.1594245600,13,Elateridae,d9699ed0,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.d9699ed0.1594850400,13,Elateridae,d9699ed0,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.f54ac578.1593036000,13,Elateridae,f54ac578,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.f54ac578.1593640800,13,Elateridae,f54ac578,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.f54ac578.1594245600,13,Elateridae,f54ac578,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
13.f54ac578.1594850400,13,Elateridae,f54ac578,2020-07-15T22:00:00Z,2020-07-22T12:00:00Z
13.f8d61a5c.1593036000,13,Elateridae,f8d61a5c,2020-06-24T22:00:00Z,2020-07-01T12:00:00Z
13.f8d61a5c.1593640800,13,Elateridae,f8d61a5c,2020-07-01T22:00:00Z,2020-07-08T12:00:00Z
13.f8d61a5c.1594245600,13,Elateridae,f8d61a5c,2020-07-08T22:00:00Z,2020-07-15T12:00:00Z
